date,actual,predicted,residual
2011-09-30,40033.44,36877.26930359741,3156.1706964025943
2011-10-02,11582.95,42074.21249557493,-30491.26249557493
2011-10-03,62275.95,36870.712140631564,25405.237859368433
2011-10-04,38690.2,36188.54179647727,2501.6582035227257
2011-10-05,74108.43,40762.54549657517,33345.88450342482
2011-10-06,60387.8,45457.17688609413,14930.623113905873
2011-10-07,49187.67,42990.95818662793,6196.711813372065
2011-10-09,12466.81,40219.41852514897,-27752.60852514897
2011-10-10,43080.32,42213.936621667875,866.3833783321243
2011-10-11,46436.77,37569.47489702535,8867.295102974647
2011-10-12,27731.37,36740.77318764282,-9009.403187642823
2011-10-13,33039.18,40804.40483667654,-7765.224836676542
2011-10-14,32124.68,46060.58285929346,-13935.902859293463
2011-10-16,22010.96,44492.261118736256,-22481.301118736257
2011-10-17,47005.24,41160.147429966215,5845.092570033783
2011-10-18,37302.4,43508.01216979176,-6205.612169791755
2011-10-19,37333.52,38801.86771011566,-1468.3477101156604
2011-10-20,61064.06,37989.33385961362,23074.72614038638
2011-10-21,60417.26,42109.27852153735,18307.98147846265
2011-10-23,12339.16,47303.497072382626,-34964.33707238262
2011-10-24,39315.28,45636.10391368159,-6320.82391368159
2011-10-25,36235.95,42365.84238212044,-6129.892382120444
2011-10-26,34435.32,44674.71984985181,-10239.399849851812
2011-10-27,55837.14,39975.38128919817,15861.758710801827
2011-10-28,37290.57,39161.06352274477,-1870.4935227447713
2011-10-30,34571.23,43274.79476564338,-8703.56476564338
2011-10-31,33048.57,48475.849749862326,-15427.279749862326
2011-11-01,29132.81,46819.387852032436,-17686.577852032435
2011-11-02,38734.7,43542.30172788382,-4807.601727883826
2011-11-03,60672.11,45855.48094126395,14816.629058736049
2011-11-04,56099.24,41155.39143690655,14943.848563093445
2011-11-06,42941.34,40341.270502708125,2600.069497291872
2011-11-07,28779.24,44455.687316738535,-15676.447316738533
2011-11-08,38295.12,49655.98798817953,-11360.867988179525
2011-11-09,61489.18,47998.31996585408,13490.860034145917
2011-11-10,70513.29,44721.98684800447,25791.303151995526
2011-11-11,37081.37,47034.69141890174,-9953.321418901738
2011-11-13,28607.78,42334.68477155476,-13726.904771554764
2011-11-14,58777.71,41520.54211944044,17257.16788055956
2011-11-15,47729.0,45634.883289485646,2094.116710514354
2011-11-16,48439.76,50835.2671896712,-2395.507189671196
2011-11-17,55885.3,49177.73224772101,6707.567752278992
2011-11-18,36751.25,45901.31604528004,-9150.066045280037
2011-11-20,30190.92,48214.072986890256,-18023.152986890258
2011-11-21,45333.13,43514.05719733443,1819.0728026655706
2011-11-22,49664.89,42699.91694151369,6964.973058486306
2011-11-23,71979.93,46814.26645790289,25165.6635420971
2011-11-24,38579.11,52014.64117486349,-13435.531174863492
2011-11-25,26674.66,50357.09154920002,-23682.43154920002
2011-11-27,17300.96,47080.68451407854,-29779.724514078538
2011-11-28,51831.67,49393.43567725198,2438.234322748016
2011-11-29,48851.68,44693.420896421696,4158.259103578304
2011-11-30,41481.23,43879.28037620069,-2398.0503762006847
2011-12-01,44533.99,47993.628971677834,-3459.638971677836
2011-12-02,44713.69,53194.004701889586,-8480.314701889583
2011-12-04,20375.96,51536.45669638562,-31160.49669638562
2011-12-05,58202.21,48260.04864976796,9942.16135023204
2011-12-06,46144.04,50572.80045051782,-4428.760450517817
2011-12-07,69354.21,45872.7855583876,23481.424441612406
2011-12-08,50519.41,45058.64506733977,5460.764932660233
2011-12-09,184349.28,49172.99376442775,135176.28623557225
